stem,image_path,iou,dice,ap
cju17r8il13910799dr2wme2e,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17r8il13910799dr2wme2e.jpg,0.929985,0.963722,0.998373
cju17v6ih0u7808783zcbg1jy,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17v6ih0u7808783zcbg1jy.jpg,0.965317,0.982353,0.999221
cju17x0j4nfc10993y31pvlgs,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17x0j4nfc10993y31pvlgs.jpg,0.331159,0.49755,0.948914
cju17z0qongpa0993de4boim4,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju17z0qongpa0993de4boim4.jpg,0.956587,0.977812,0.999245
cju1819curo000988pd5xcqme,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1819curo000988pd5xcqme.jpg,0.975824,0.987764,0.999416
cju183od81ff608017ekzif89,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju183od81ff608017ekzif89.jpg,0.962295,0.980785,0.999025
cju1871y11d6r0799k6cw4yze,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1871y11d6r0799k6cw4yze.jpg,0.972608,0.986114,0.999467
cju18849rrsgr0988p90hkygb,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18849rrsgr0988p90hkygb.jpg,0.974363,0.987015,0.999746
cju18gzrq18zw0878wbf4ftw6,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18gzrq18zw0878wbf4ftw6.jpg,0.944223,0.971311,0.998211
cju18ibp219ub08783i6o98g7,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18ibp219ub08783i6o98g7.jpg,0.857834,0.923477,0.97717
cju18kevfrojc0835bn90f1in,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju18kevfrojc0835bn90f1in.jpg,0.965379,0.982385,0.9993
cju1alwgo30z60855fm3y23sm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1alwgo30z60855fm3y23sm.jpg,0.97133,0.985457,0.999364
cju1amqw6p8pw0993d9gc5crl,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1amqw6p8pw0993d9gc5crl.jpg,0.879145,0.935686,0.990108
cju1aqqv02qwz0878a5cyhr67,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1aqqv02qwz0878a5cyhr67.jpg,0.952689,0.975771,0.998824
cju1ats0y372e08011yazcsxm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ats0y372e08011yazcsxm.jpg,0.977817,0.988784,0.999691
cju1b0y2e396p08558ois175d,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1b0y2e396p08558ois175d.jpg,0.941479,0.969858,0.997234
cju1b3zgj3d8e0801kpolea6c,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1b3zgj3d8e0801kpolea6c.jpg,0.96041,0.979805,0.99891
cju1b75x63ddl0799sdp0i2j3,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1b75x63ddl0799sdp0i2j3.jpg,0.89657,0.945465,0.995201
cju1bhnfitmge0835ynls0l6b,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1bhnfitmge0835ynls0l6b.jpg,0.954066,0.976493,0.998599
cju1bm8063nmh07996rsjjemq,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1bm8063nmh07996rsjjemq.jpg,0.969542,0.984535,0.999329
cju1brhsj3rls0855a1vgdlen,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1brhsj3rls0855a1vgdlen.jpg,0.948226,0.973425,0.99792
cju1c0qb4tzi308355wtsnp0y,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c0qb4tzi308355wtsnp0y.jpg,0.978743,0.989257,0.999648
