Min_Support,Min_Confidence,Antecedent,Consequent,Support,Confidence
0.05,0.3,{'bottled beer'},{'whole milk'},0.08542842483324782,0.5379644588045235
0.05,0.3,{'chicken'},{'whole milk'},0.05002565418163161,0.49744897959183676
0.05,0.3,{'bottled water'},{'whole milk'},0.11236531554643407,0.5258103241296519
0.05,0.3,{'bottled beer'},{'rolls/buns'},0.06310928681375064,0.3974151857835218
0.05,0.3,{'bottled water'},{'rolls/buns'},0.0792714212416624,0.3709483793517407
0.05,0.3,{'tropical fruit'},{'yogurt'},0.07567983581323756,0.32381997804610324
0.05,0.3,{'root vegetables'},{'yogurt'},0.0715751667521806,0.3103448275862069
0.05,0.3,{'tropical fruit'},{'soda'},0.08183683940482299,0.3501646542261252
0.05,0.3,{'root vegetables'},{'soda'},0.08132375577219086,0.3526140155728587
0.05,0.3,{'yogurt'},{'rolls/buns'},0.11133914828116984,0.3934723481414325
0.05,0.3,{'rolls/buns'},{'yogurt'},0.11133914828116984,0.318415260454879
0.05,0.3,{'yogurt'},{'other vegetables'},0.12031811185223192,0.4252039891205803
0.05,0.3,{'other vegetables'},{'yogurt'},0.12031811185223192,0.3194822888283379
0.05,0.3,{'bottled water'},{'yogurt'},0.06644433042585941,0.31092436974789917
0.05,0.3,{'citrus fruit'},{'yogurt'},0.05823499230374551,0.313969571230982
0.05,0.3,{'citrus fruit'},{'whole milk'},0.09235505387378143,0.4979253112033195
0.05,0.3,{'frankfurter'},{'other vegetables'},0.061056952283222166,0.44402985074626866
0.05,0.3,{'citrus fruit'},{'rolls/buns'},0.07183170856849666,0.38727524204702624
0.05,0.3,{'bottled water'},{'other vegetables'},0.09389430477167779,0.43937575030012005
0.05,0.3,{'citrus fruit'},{'other vegetables'},0.07747562852744998,0.41770401106500693
0.05,0.3,{'shopping bags'},{'yogurt'},0.05489994869163674,0.32621951219512196
0.05,0.3,{'brown bread'},{'whole milk'},0.06977937403796819,0.5132075471698113
0.05,0.3,{'brown bread'},{'rolls/buns'},0.05336069779374038,0.3924528301886792
0.05,0.3,{'domestic eggs'},{'whole milk'},0.07029245767060031,0.5279383429672447
0.05,0.3,{'whipped/sour cream'},{'other vegetables'},0.06695741405849154,0.4328358208955224
0.05,0.3,{'domestic eggs'},{'other vegetables'},0.05438686505900462,0.40847784200385356
0.05,0.3,{'fruit/vegetable juice'},{'whole milk'},0.062339661364802464,0.4989733059548255
0.05,0.3,{'fruit/vegetable juice'},{'rolls/buns'},0.05361723961005644,0.4291581108829569
0.05,0.3,{'soda'},{'other vegetables'},0.1241662390969728,0.3960720130932897
0.05,0.3,{'other vegetables'},{'soda'},0.1241662390969728,0.329700272479564
0.05,0.3,{'shopping bags'},{'soda'},0.064648537711647,0.38414634146341464
0.05,0.3,{'beef'},{'other vegetables'},0.05079527963057978,0.4248927038626609
0.05,0.3,{'brown bread'},{'other vegetables'},0.05977424320164187,0.439622641509434
0.05,0.3,{'newspapers'},{'rolls/buns'},0.05720882503848127,0.40917431192660547
0.05,0.3,{'bottled beer'},{'soda'},0.05515649050795279,0.3473344103392569
0.05,0.3,{'domestic eggs'},{'rolls/buns'},0.052591072344792204,0.394990366088632
0.05,0.3,{'pork'},{'whole milk'},0.06695741405849154,0.5058139534883721
0.05,0.3,{'bottled water'},{'soda'},0.07619291944586967,0.3565426170468187
0.05,0.3,{'newspapers'},{'whole milk'},0.07234479220112879,0.5174311926605504
0.05,0.3,{'newspapers'},{'other vegetables'},0.05156490507952796,0.36880733944954125
0.05,0.3,{'pip fruit'},{'yogurt'},0.056695741405849154,0.3323308270676692
0.05,0.3,{'sausage'},{'other vegetables'},0.09286813750641354,0.4508094645080946
0.05,0.3,{'margarine'},{'whole milk'},0.059517701385325805,0.5087719298245614
0.05,0.3,{'margarine'},{'other vegetables'},0.05002565418163161,0.4276315789473684
0.05,0.3,{'fruit/vegetable juice'},{'other vegetables'},0.052591072344792204,0.4209445585215606
0.05,0.3,{'pork'},{'other vegetables'},0.05566957414058492,0.42054263565891475
0.05,0.3,{'curd'},{'other vegetables'},0.05156490507952796,0.4267515923566879
0.05,0.3,{'pip fruit'},{'soda'},0.06054386865059005,0.3548872180451128
0.05,0.3,{'bottled beer'},{'other vegetables'},0.06849666495638788,0.43134087237479807
0.05,0.3,{'coffee'},{'whole milk'},0.05515649050795279,0.47991071428571425
0.05,0.3,{'citrus fruit'},{'soda'},0.06516162134427912,0.351313969571231
0.05,0.3,"{'soda', 'whole milk'}",{'yogurt'},0.05438686505900462,0.3599320882852292
0.05,0.3,"{'soda', 'yogurt'}",{'whole milk'},0.05438686505900462,0.5578947368421052
0.05,0.3,"{'whole milk', 'yogurt'}",{'soda'},0.05438686505900462,0.36115843270868825
0.05,0.3,"{'soda', 'whole milk'}",{'rolls/buns'},0.06516162134427912,0.4312393887945671
0.05,0.3,"{'soda', 'rolls/buns'}",{'whole milk'},0.06516162134427912,0.54389721627409
0.05,0.3,"{'whole milk', 'rolls/buns'}",{'soda'},0.06516162134427912,0.3649425287356322
0.05,0.3,"{'tropical fruit', 'whole milk'}",{'other vegetables'},0.050538737814263726,0.433920704845815
0.05,0.3,"{'tropical fruit', 'other vegetables'}",{'whole milk'},0.050538737814263726,0.5533707865168539
0.05,0.3,"{'whole milk', 'rolls/buns'}",{'other vegetables'},0.08209338122113904,0.45977011494252873
0.05,0.3,"{'whole milk', 'other vegetables'}",{'rolls/buns'},0.08209338122113904,0.42895442359249325
