stem,iou_vit,dice_vit,ap_vit,iou_swin,dice_swin,ap_swin,diff_iou,diff_dice,diff_ap
cju7dn24o296i09871qfxb8s2,0.634964,0.776731,0.651669,0.751124,0.857876,0.945306,0.11616000000000004,0.08114500000000002,0.2936369999999999
cju7dqcwi2dz00850gcmr2ert,0.896099,0.945203,0.992512,0.700438,0.823833,0.943809,-0.19566099999999997,-0.12136999999999998,-0.04870299999999994
cju7ev2b12owa08500bpfpwyw,0.917408,0.956925,0.986889,0.945838,0.972165,0.997841,0.028429999999999955,0.01523999999999992,0.010951999999999962
cju7fbndk2sl608015ravktum,0.945837,0.972165,0.995356,0.93306,0.965371,0.99715,-0.012777000000000038,-0.006793999999999967,0.0017939999999999623
cju83nwu1jxte0987h1krpfmv,0.890204,0.941913,0.991362,0.922412,0.95964,0.99786,0.032208000000000014,0.01772700000000005,0.006498000000000004
cju846ec0kj7z08012o10klrb,0.927796,0.962546,0.994768,0.951725,0.975266,0.998944,0.02392900000000009,0.012719999999999954,0.0041760000000000685
cju84hibuktj80871u519o71q,0.938934,0.968505,0.998629,0.968145,0.983815,0.999337,0.029210999999999987,0.015310000000000046,0.0007080000000000419
cju8567gdlcbq0801dwwyo2jt,0.968468,0.983981,0.999098,0.966649,0.983042,0.998681,-0.001819000000000015,-0.0009390000000000231,-0.0004170000000000007
cju85c2d4ln1b0755zz1z3onx,0.33003,0.496274,0.859898,0.37402,0.544417,0.90229,0.04399000000000003,0.04814300000000005,0.042391999999999985
cju8arof2qpf20850ifr1bnqj,0.65148,0.788965,0.971555,0.619995,0.765428,0.742534,-0.031484999999999985,-0.02353700000000003,-0.22902099999999992
cju8at3s1qqqx0850hcq8nmnq,0.870875,0.930982,0.988328,0.73015,0.844031,0.841025,-0.140725,-0.086951,-0.14730299999999996
cju8bbznkrf5g0871jncffynk,0.953241,0.976061,0.998122,0.961426,0.980334,0.997936,0.008184999999999998,0.004273000000000082,-0.00018599999999990846
cju8bj2ssrmlm0871gc2ug2rs,0.588808,0.741194,0.964859,0.39222,0.563446,0.915924,-0.19658799999999998,-0.17774800000000002,-0.04893500000000006
cju8bqxxurs6i0850mu7mtef9,0.935812,0.966842,0.99649,0.946679,0.972609,0.99756,0.010867000000000071,0.005766999999999967,0.0010700000000000154
cju8bw697rwg308177tg8huas,0.634736,0.776561,0.953103,0.896372,0.945354,0.990545,0.261636,0.16879300000000008,0.037441999999999975
cju8c3xs7sauj0801ieyzezr5,0.908243,0.951916,0.966046,0.895618,0.944935,0.965656,-0.012624999999999997,-0.006981000000000015,-0.00039000000000000146
cju8chdlqsu620755azjty1tj,0.895203,0.944704,0.98154,0.929942,0.9637,0.996143,0.034739000000000075,0.018996000000000013,0.014603000000000033
cju8d2q30tfhs0801n7lx77xl,0.953143,0.976009,0.997452,0.954715,0.976833,0.996155,0.0015720000000000178,0.0008239999999999359,-0.0012969999999999926
cju8djdqztu6408506pzhlo18,0.87861,0.935383,0.989813,0.876072,0.933943,0.964315,-0.0025380000000000402,-0.0014399999999999968,-0.02549800000000002
cju8dn0c3u2v50801k8rvq02f,0.958401,0.978759,0.99843,0.970526,0.985042,0.998917,0.012125000000000052,0.0062829999999999275,0.0004870000000000152
cju8doa16u5gh0818w1ywda3q,0.881225,0.936863,0.98467,0.824007,0.903513,0.978659,-0.05721799999999999,-0.03334999999999999,-0.0060110000000001
cjyzlw7f9faqr070129au64sq,0.819166,0.900595,0.97516,0.835085,0.910132,0.991512,0.015919000000000016,0.009537000000000018,0.016351999999999922
