stem,image_path,iou,dice,ap
cju1c0qb4tzi308355wtsnp0y,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c0qb4tzi308355wtsnp0y.jpg,0.96156,0.980403,0.998947
cju1c3218411b08014g9f6gig,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c3218411b08014g9f6gig.jpg,0.952084,0.975454,0.99786
cju1c4fcu40hl07992b8gj0c8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c4fcu40hl07992b8gj0c8.jpg,0.893275,0.94363,0.991817
cju1c6yfz42md08550zgoz3pw,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c6yfz42md08550zgoz3pw.jpg,0.980701,0.990257,0.999656
cju1c8ffau5770835g0g343o8,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1c8ffau5770835g0g343o8.jpg,0.848064,0.917786,0.985572
cju1cbokpuiw70988j4lq1fpi,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cbokpuiw70988j4lq1fpi.jpg,0.890156,0.941886,0.99449
cju1cdxvz48hw0801i0fjwcnk,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cdxvz48hw0801i0fjwcnk.jpg,0.927348,0.962305,0.996446
cju1cfhyg48bb0799cl5pr2jh,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cfhyg48bb0799cl5pr2jh.jpg,0.959499,0.979331,0.999306
cju1cj3f0qi5n0993ut8f49rj,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cj3f0qi5n0993ut8f49rj.jpg,0.935963,0.966922,0.996494
cju1cnnziug1l0835yh4ropyg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cnnziug1l0835yh4ropyg.jpg,0.915021,0.955625,0.99409
cju1cqc7n4gpy0855jt246k68,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cqc7n4gpy0855jt246k68.jpg,0.898558,0.946569,0.991832
cju1csmlc4ht10799b8ymmghg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1csmlc4ht10799b8ymmghg.jpg,0.944913,0.971676,0.99817
cju1cu1u2474n0878tt7v4tdr,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cu1u2474n0878tt7v4tdr.jpg,0.846999,0.917162,0.97642
cju1cvkfwqrec0993wbp1jlzm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cvkfwqrec0993wbp1jlzm.jpg,0.927004,0.962119,0.996696
cju1cyjb5qtie0993njqne9m3,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1cyjb5qtie0993njqne9m3.jpg,0.968038,0.98376,0.999223
cju1d31sp4d4k0878r3fr02ul,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d31sp4d4k0878r3fr02ul.jpg,0.947184,0.972876,0.996687
cju1d50a94qf50855wsowacrc,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d50a94qf50855wsowacrc.jpg,0.947402,0.972991,0.997877
cju1d96gsv62d09881b3wecw2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1d96gsv62d09881b3wecw2.jpg,0.94871,0.97368,0.997979
cju1ddr6p4k5z08780uuuzit2,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1ddr6p4k5z08780uuuzit2.jpg,0.875965,0.933882,0.972642
cju1dfeupuzlw0835gnxip369,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dfeupuzlw0835gnxip369.jpg,0.942789,0.970552,0.997994
cju1dg44i4z3w0801nyz4p6zf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dg44i4z3w0801nyz4p6zf.jpg,0.0,0.0,0.006911
cju1dhfok4mhe0878jlgrag0h,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dhfok4mhe0878jlgrag0h.jpg,0.940697,0.969442,0.997546
cju1dia8hvc6v098827mgffnm,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dia8hvc6v098827mgffnm.jpg,0.923927,0.96046,0.996706
cju1djtprvd7b0988thwwrg09,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1djtprvd7b0988thwwrg09.jpg,0.949952,0.974334,0.997199
cju1dnz61vfp40988e78bkjga,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dnz61vfp40988e78bkjga.jpg,0.874499,0.933048,0.992536
cju1dq3x1vgx109889c7wyirg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1dq3x1vgx109889c7wyirg.jpg,0.955372,0.977177,0.996335
cju1drnhbrb9409935wi7vkhg,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1drnhbrb9409935wi7vkhg.jpg,0.073623,0.137149,0.41254
cju1efbr0rqxz09931z0lf4vf,/Users/brian/Desktop/VCL318/Swin-ViT/ViTUnet vs SwinUnet/Dataset/processed/Kvasir-SEG/images/cju1efbr0rqxz09931z0lf4vf.jpg,0.89742,0.945937,0.985461
